Year,Month,Day,Daytype,Time,City,Province,LocationType,Density,Target,Kills,Injures,Temperature(F)
1995,11,19,Weekend or Holiday,Missing,Islamabad,Capital,Foreign Area,High,Tourist,14,60,60
2000,11,6,Working Day,Missing,Karachi,Sindh,Office Building,Low,"Government, Media and Officer",3,3,74
2002,5,8,Working Day,7,Karachi ,Sindh,Hotel and Hospital,Medium,Tourist,14,30,88
2002,6,14,Working Day,11,Karachi,Sindh,Foreign Area,High,Tourist,12,51,88
2003,7,4,Working Day,Missing,Quetta,Balochistan,Religious Area,Medium,Religious,45,65,91
2003,12,25,Weekend or Holiday,13,Rawalpindi,Punjab,Vehicle,Low,Police and Military,17,50,49
2004,2,28,Weekend or Holiday,Missing,Rawalpindi,Punjab,Religious Area,Medium,Religious,1,3,59
2004,5,7,Working Day,13,Karachi ,Sindh,Religious Area,Medium,Religious,14,148,92
2004,5,31,Working Day,"[18, 19, 20, 21, 22]",Karachi ,Sindh,Religious Area,Medium,Religious,17,35,88
2004,6,3,Working Day,Missing,North waziristan,FATA,Military or Police Area,High,Police and Military,2,2,80
2004,7,28,Working Day,20,Kohat,Khyber-Pakhtunkhwa,Commercial and Residence Area,High,Police and Military,2,3,90
2004,7,30,Working Day,19,Attock ,Punjab,Commercial and Residence Area,Low,"Government, Media and Officer",7,57,79
2004,10,1,Working Day,13,Sialkot,Punjab,Religious Area,Medium,Religious,28,62,81
2004,10,10,Weekend or Holiday,17,Lahore ,Punjab,Religious Area,Medium,Religious,4,8,75
2005,3,19,Weekend or Holiday,23,Quetta,Balochistan,Religious Area,Medium,Religious,37,54,61
2005,4,28,Working Day,Missing,Swat,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,2,Missing,67
2005,5,27,Working Day,11,Islamabad,Capital,Religious Area,Medium,Civilian,22,91,80
2005,5,30,Working Day,"[18, 19, 20, 21, 22]",Karachi ,Sindh,Religious Area,Medium,Religious,5,24,89
2006,2,9,Weekend or Holiday,9,Hangu,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Religious,38,90,59
2006,3,2,Working Day,9,Karachi,Sindh,Hotel and Hospital,Medium,Tourist,4,42,77
2006,4,12,Weekend or Holiday,19,Karachi ,Sindh,Commercial and Residence Area,Medium,Religious,52,100,83
2006,6,2,Working Day,10,Bannu,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,6,7,79
2006,6,26,Working Day,15,North Waziristan,FATA,Military or Police Area,High,Police and Military,6,26,83
2006,8,6,Weekend or Holiday,8,Lasbela,Balochistan,Commercial and Residence Area,Low,Civilian,1,0,81
2006,11,8,Working Day,8,Malakand ,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,41,29,66
2006,11,17,Working Day,7,Peshawar,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,1,2,63
2006,12,3,Weekend or Holiday,Missing,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,1,1,40
2007,1,22,Working Day,10,North Waziristan,FATA,Vehicle,High,Police and Military,4,24,36
2007,1,26,Working Day,14,Islamabad,Capital,Hotel and Hospital,Medium,Tourist,1,6,61
2007,1,27,Weekend or Holiday,20,Peshawar ,Khyber-Pakhtunkhwa,Religious Area,Medium,Civilian,14,45,59
2007,1,29,Weekend or Holiday,Missing,D.I Khan ,Khyber-Pakhtunkhwa,Military or Police Area,High,Civilian,2,7,63
2007,2,3,Weekend or Holiday,6,Lakki Marwat,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,1,Missing,63
2007,2,3,Weekend or Holiday,12,Tank,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,2,7,67
2007,2,6,Working Day,20,Islamabad ,Capital,Transport,High,Civilian,1,6,61
2007,2,17,Weekend or Holiday,11,Quetta ,Balochistan,Office Building,High,Civilian,16,32,47
2007,3,29,Working Day,11,Gujrat,Punjab,Military or Police Area,High,Police and Military,1,7,78
2007,4,28,Weekend or Holiday,18,Charsadda,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,"Government, Media and Officer",30,44,82
2007,5,15,Working Day,12,Peshawar ,Khyber-Pakhtunkhwa,Hotel and Hospital,Medium,Tourist,24,23,87
2007,5,28,Working Day,12,Tank ,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,3,2,76
2007,7,4,Working Day,10,North Waziristan,FATA,Vehicle,High,Police and Military,9,10,80
2007,7,12,Working Day,Missing,Swat ,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,6,6,89
2007,7,12,Working Day,16,North Waziristan,FATA,Office Building,High,"Government, Media and Officer",3,3,88
2007,7,14,Weekend or Holiday,14,North Waziristan,FATA,Vehicle,High,Police and Military,23,27,78
2007,7,15,Weekend or Holiday,15,D.I Khan,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,27,55,83
2007,7,15,Weekend or Holiday,7,Swat ,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,18,43,81
2007,7,17,Working Day,8,Islamabad ,Capital,Office Building,High,"Government, Media and Officer",16,60,83
2007,7,17,Working Day,13,North Waziristan,FATA,Military or Police Area,High,Police and Military,4,2,80
2007,7,19,Working Day,8,Lasbela,Balochistan,Vehicle,High,Tourist,29,39,90
2007,7,19,Working Day,7,Hangu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,7,32,87
2007,7,19,Working Day,Missing,Kohat ,Khyber-Pakhtunkhwa,Religious Area,Medium,Religious,17,33,86
2007,7,20,Working Day,12,North Waziristan,FATA,Military or Police Area,High,Police and Military,4,5,83
2007,7,27,Working Day,17,Islamabad ,Capital,Hotel and Hospital,Medium,Police and Military,14,60,79
2007,8,3,Working Day,"[18, 19, 20, 21, 22]",Swat ,Khyber-Pakhtunkhwa,Vehicle,Low,Civilian,2,5,82
2007,8,4,Weekend or Holiday,10,Kuram Agency ,FATA,Transport,Low,Civilian,16,39,78
2007,8,17,Working Day,Missing,Tank,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,Missing,4,79
2007,8,19,Weekend or Holiday,Missing,North Waziristan,FATA,Military or Police Area,High,Police and Military,2,2,84
2007,8,19,Weekend or Holiday,Missing,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,1,4,85
2007,8,20,Working Day,9,Hangu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,5,16,80
2007,8,24,Working Day,Missing,North Waziristan,FATA,Vehicle,High,Police and Military,6,29,83
2007,8,26,Weekend or Holiday,Missing,Shangla ,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,4,2,81
2007,9,1,Weekend or Holiday,10,Bajaur Agency,FATA,Vehicle,High,Police and Military,5,6,83
2007,9,1,Weekend or Holiday,Missing,South Waziristan,FATA,Military or Police Area,High,Police and Military,0,Missing,85
2007,9,4,Working Day,7,Rawalpindi,Punjab,Vehicle,High,Police and Military,21,Missing,80
2007,9,4,Working Day,7,Rawalpindi,Punjab,Commercial and Residence Area,Low,Police and Military,7,Missing,80
2007,9,11,Working Day,Missing,D.I Khan,Khyber-Pakhtunkhwa,Vehicle,Low,Civilian,18,17,87
2007,9,13,Working Day,19,Haripur,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,17,28,80
2007,9,22,Weekend or Holiday,2,Tank,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,5,6,76
2007,10,1,Working Day,8,bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,16,30,76
2007,10,18,Working Day,12,karachi ,Sindh,Vehicle,High,"Government, Media and Officer",135,325,82
2007,10,25,Working Day,14,Swat,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,29,31,69
2007,10,30,Working Day,11,Rawalpindi,Punjab,Military or Police Area,High,Police and Military,7,24,69
2007,11,1,Working Day,7,Sargodha,Punjab,Vehicle,High,Police and Military,9,33,69
2007,11,9,Weekend or Holiday,16,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,"Government, Media and Officer",3,3,67
2007,11,24,Weekend or Holiday,7,Rawalpindi,Punjab,Vehicle,High,Police and Military,27,35,59
2007,11,24,Weekend or Holiday,7,Rawalpindi,Punjab,Military or Police Area,High,Police and Military,1,3,59
2007,12,4,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,1,0,58
2007,12,9,Weekend or Holiday,23,Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,11,2,53
2007,12,10,Working Day,7,Attock ,Punjab,Vehicle,Low,Civilian,0,14,53
2007,12,13,Working Day,16,Quetta ,Balochistan,Military or Police Area,High,Police and Military,8,22,39
2007,12,15,Weekend or Holiday,9,Nowshehra,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,5,15,49
2007,12,17,Working Day,12,Kohat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,12,3,52
2007,12,21,Weekend or Holiday,Missing,Charsadda ,Khyber-Pakhtunkhwa,Religious Area,Medium,Civilian,60,200,59
2007,12,23,Weekend or Holiday,18,Swat,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,11,23,54
2007,12,27,Working Day,17,Rawalpindi,Punjab,Commercial and Residence Area,Low,"Government, Media and Officer",25,59,50
2008,1,7,Working Day,11,Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,Missing,12,44
2008,1,10,Working Day,11,Lahore ,Punjab,Office Building,High,Police and Military,25,76,57
2008,1,15,Working Day,10,Mohmand agency,FATA,Military or Police Area,High,Police and Military,1,Missing,41
2008,1,17,Working Day,18,Peshawar,Khyber-Pakhtunkhwa,Religious Area,Medium,Religious,11,25,54
2008,2,1,Working Day,16,North Waziristan,FATA,Military or Police Area,High,Police and Military,6,14,36
2008,2,4,Working Day,7,Rawalpindi,Punjab,Vehicle,High,Police and Military,9,37,47
2008,2,5,Working Day,Missing,Quetta ,Balochistan,Commercial and Residence Area,Low,Civilian,1,1,27
2008,2,9,Weekend or Holiday,Missing,Charsadda ,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,"Government, Media and Officer",26,43,46
2008,2,11,Working Day,12,North Waziristan,FATA,Religious Area,Low,"Government, Media and Officer",8,11,36
2008,2,16,Weekend or Holiday,Missing,Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,2,16,54
2008,2,16,Weekend or Holiday,"[18, 19, 20, 21, 22]",Kuram Agency ,FATA,Office Building,High,"Government, Media and Officer",42,109,54
2008,2,25,Working Day,14,Rawalpindi,Punjab,Vehicle,High,Police and Military,8,25,58
2008,2,29,Working Day,20,Swat,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Police and Military,41,70,67
2008,3,1,Weekend or Holiday,Missing,Bajaur Agency,FATA,Vehicle,High,Police and Military,2,23,66
2008,3,2,Weekend or Holiday,11,Dara Adam Khel,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Police and Military,41,55,67
2008,3,4,Working Day,13,Lahore ,Punjab,Military or Police Area,High,Police and Military,6,19,69
2008,3,11,Working Day,9,Lahore ,Punjab,Office Building,High,"Government, Media and Officer",28,187,70
2008,3,11,Working Day,9,Lahore ,Punjab,Commercial and Residence Area,Low,Civilian,4,12,70
2008,3,17,Working Day,Missing,Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,2,6,72
2008,3,20,Weekend or Holiday,15,South Waziristan,FATA,Military or Police Area,High,Police and Military,5,10,65
2008,5,1,Weekend or Holiday,"[7, 8, 9, 10]",Khyber Agency,FATA,Religious Area,Medium,Religious,2,23,84
2008,5,6,Working Day,8,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,5,12,83
2008,5,9,Working Day,"[18, 19, 20, 21, 22]",Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,1,3,75
2008,5,18,Weekend or Holiday,20,Mardan,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,12,24,85
2008,6,2,Working Day,13,Islamabad,Capital,Foreign Area,High,Tourist,8,27,79
2008,7,6,Weekend or Holiday,19,Islamabad,Capital,Commercial and Residence Area,Low,Police and Military,17,33,80
2008,7,13,Weekend or Holiday,Missing,D.I Khan,Khyber-Pakhtunkhwa,Religious Area,Medium,Religious,1,3,87
2008,8,13,Working Day,23,Lahore ,Punjab,Military or Police Area,High,Police and Military,8,27,78
2008,8,19,Working Day,13,D.I Khan,Khyber-Pakhtunkhwa,Hotel and Hospital,Low,Civilian,31,44,88
2008,8,21,Working Day,14,Rawalpindi,Punjab,Military or Police Area,High,"Government, Media and Officer",85,133,84
2008,8,23,Weekend or Holiday,7,Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,11,20,78
2008,8,29,Working Day,7,Kohat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,3,32,81
2008,9,6,Weekend or Holiday,Missing,Peshawar,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,32,80,74
2008,9,16,Working Day,Missing,Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,6,25,78
2008,9,20,Weekend or Holiday,Missing,North waziristan,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,12,12,71
2008,9,20,Weekend or Holiday,20,Islamabad,Capital,Hotel and Hospital,Medium,Tourist,50,250,75
2008,9,22,Working Day,Missing,Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,11,2,69
2008,9,24,Working Day,Missing,Quetta,Balochistan,Military or Police Area,High,Police and Military,7,23,73
2008,10,3,Weekend or Holiday,16,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,Medium,"Government, Media and Officer",4,18,85
2008,10,6,Working Day,16,Bhakkar ,Punjab,Commercial and Residence Area,Medium,"Government, Media and Officer",24,80,84
2008,10,9,Working Day,12,Islamabad,Capital,Military or Police Area,High,Police and Military,Missing,9,75
2008,10,9,Working Day,12,Khyber Agency,FATA,Vehicle,High,Tourist,0,0,76
2008,10,10,Working Day,Missing,Orakzai Agency,FATA,Commercial and Residence Area,Low,Police and Military,62,145,69
2008,10,16,Working Day,Missing,Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,4,27,67
2008,10,26,Weekend or Holiday,21,Mohmand Agency,FATA,Military or Police Area,High,Police and Military,10,5,59
2008,10,29,Working Day,14,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,Missing,14,71
2008,10,31,Working Day,13,Mardan,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,9,23,69
2008,11,2,Weekend or Holiday,9,South Waziristan,FATA,Military or Police Area,High,Police and Military,8,8,71
2008,11,4,Working Day,Missing,Hangu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,7,4,69
2008,11,6,Working Day,Missing,Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,2,10,61
2008,11,6,Working Day,Missing,Bajaur Agency,FATA,Commercial and Residence Area,Low,Police and Military,19,38,62
2008,11,11,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,"Government, Media and Officer",3,16,66
2008,11,12,Working Day,10,Charsadda,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,7,11,66
2008,11,17,Working Day,11,Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,10,8,57
2008,11,20,Working Day,18,Bajaur Agency,FATA,Religious Area,Medium,Religious,9,Missing,57
2008,11,28,Working Day,Missing,Buner,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,9,16,61
2008,12,1,Working Day,"[7, 8, 9, 10]",Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,10,50,59
2008,12,3,Working Day,Missing,Charsadda,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,5,9,60
2008,12,5,Working Day,12,Orakzai Agency,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,8,11,54
2008,12,9,Working Day,Missing,Buner,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,"Government, Media and Officer",1,4,57
2008,12,28,Weekend or Holiday,10,Buner,Khyber-Pakhtunkhwa,Office Building,High,"Government, Media and Officer",35,16,52
2009,1,4,Weekend or Holiday,19,D.I Khan,Khyber-Pakhtunkhwa,Vehicle,High,Police and Military,8,23,52
2009,1,4,Weekend or Holiday,Missing,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,1,2,46
2009,1,23,Working Day,Missing,Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,2,18,55
2009,2,5,Working Day,18,D.G Khan ,Punjab,Religious Area,Medium,Religious,31,51,59
2009,2,5,Working Day,Missing,Swat,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,12,Missing,48
2009,2,6,Working Day,8,Khyber Agency,FATA,Vehicle,Low,Tourist,0,7,50
2009,2,9,Working Day,Missing,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,5,17,58
2009,2,20,Working Day,Missing,D.I Khan ,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Civilian,33,175,59
2009,2,21,Weekend or Holiday,Missing,Bannu,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,2,Missing,57
2009,2,23,Working Day,Missing,Bannu,Khyber-Pakhtunkhwa,Commercial and Residence Area,Medium,Police and Military,1,2,60
2009,3,2,Working Day,Missing,Pishin,Balochistan,Commercial and Residence Area,Low,"Government, Media and Officer",5,8,65
2009,3,11,Working Day,Missing,Peshawar,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,"Government, Media and Officer",4,6,65
2009,3,16,Working Day,Missing,Rawalpindi,Punjab,Transport,Low,Civilian,13,17,69
2009,3,23,Weekend or Holiday,Missing,Islamabad,Capital,Military or Police Area,High,Police and Military,2,8,65
2009,3,26,Working Day,8,Tank,Khyber-Pakhtunkhwa,Commercial and Residence Area,Low,Police and Military,11,25,57
2009,3,27,Working Day,Missing,Khyber Agency,FATA,Religious Area,Medium,Religious,73,137,65
2009,3,30,Working Day,Missing,North waziristan,FATA,Vehicle,High,Police and Military,4,9,57
2009,4,4,Weekend or Holiday,19,Islamabad,Capital,Military or Police Area,High,Police and Military,8,5,68
2009,4,4,Weekend or Holiday,Missing,North waziristan,FATA,Vehicle,High,Police and Military,8,39,60
2009,4,5,Weekend or Holiday,12,Chakwal ,Punjab,Religious Area,Medium,Religious,24,50,68
2009,4,15,Working Day,"[18, 19, 20, 21, 22]",Charsadda,Khyber-Pakhtunkhwa,Military or Police Area,High,Police and Military,17,7,Missing
